Date of Observation;Value-Weighted Return-incl. dividends
29.11.1985;0,06922843
31.12.1985;0,04306149
31.01.1986;0,009830249
28.02.1986;0,07250131
31.03.1986;0,05388683
30.04.1986;-0,007903121
30.05.1986;0,05084652
30.06.1986;0,01424398
31.07.1986;-0,05970013
29.08.1986;0,06618293
30.09.1986;-0,07901992
31.10.1986;0,04930472
28.11.1986;0,01509305
31.12.1986;-0,02638714
30.01.1987;0,1284987
27.02.1987;0,04792182
31.03.1987;0,02366445
30.04.1987;-0,01699554
29.05.1987;0,005122664
30.06.1987;0,04365455
31.07.1987;0,04424724
31.08.1987;0,0371465
30.09.1987;-0,02077283
30.10.1987;-0,2253613
30.11.1987;-0,07227181
31.12.1987;0,07032388
29.01.1988;0,04487472
29.02.1988;0,05169127
31.03.1988;-0,01659768
29.04.1988;0,01099253
31.05.1988;0,000447309
30.06.1988;0,05145697
29.07.1988;-0,007272285
31.08.1988;-0,02800578
30.09.1988;0,03720373
31.10.1988;0,01764535
30.11.1988;-0,01641086
30.12.1988;0,02107066
31.01.1989;0,06610128
28.02.1989;-0,01644182
31.03.1989;0,02146452
28.04.1989;0,04820698
31.05.1989;0,03933567
30.06.1989;-0,004855535
31.07.1989;0,07712836
31.08.1989;0,022126
29.09.1989;-0,001473332
31.10.1989;-0,02928516
30.11.1989;0,01781615
29.12.1989;0,01829401
31.01.1990;-0,07011361
28.02.1990;0,01489994
30.03.1990;0,02414776
30.04.1990;-0,02828306
31.05.1990;0,0889347
29.06.1990;-0,004192862
31.07.1990;-0,009391909
31.08.1990;-0,0919028
28.09.1990;-0,05384421
31.10.1990;-0,01249875
30.11.1990;0,06574162
31.12.1990;0,02951084
31.01.1991;0,04908338
28.02.1991;0,07584751
28.03.1991;0,02892205
30.04.1991;0,003310802
31.05.1991;0,04073652
28.06.1991;-0,04402354
31.07.1991;0,04677859
30.08.1991;0,02680678
30.09.1991;-0,01097861
31.10.1991;0,017847
29.11.1991;-0,03729085
31.12.1991;0,1067822
31.01.1992;-0,001163548
28.02.1992;0,01335521
31.03.1992;-0,02369942
30.04.1992;0,01341432
29.05.1992;0,006407138
